# efftime_min efftime_max LRG_success_rate LRG_success_rate_error
0.00 50.00 0.1618 0.0048
50.00 100.00 0.4572 0.0081
100.00 150.00 0.6181 0.0059
150.00 200.00 0.7014 0.0049
200.00 250.00 0.7671 0.0050
250.00 300.00 0.8233 0.0047
300.00 350.00 0.8643 0.0046
350.00 400.00 0.8942 0.0042
400.00 450.00 0.9157 0.0037
450.00 500.00 0.9425 0.0030
500.00 550.00 0.9527 0.0030
550.00 600.00 0.9602 0.0030
600.00 650.00 0.9614 0.0028
650.00 700.00 0.9695 0.0024
700.00 750.00 0.9739 0.0020
750.00 800.00 0.9795 0.0015
800.00 850.00 0.9817 0.0011
850.00 900.00 0.9844 0.0008
900.00 950.00 0.9868 0.0006
950.00 1000.00 0.9885 0.0005
1000.00 1050.00 0.9897 0.0005
1050.00 1100.00 0.9907 0.0005
1100.00 1150.00 0.9905 0.0006
1150.00 1200.00 0.9916 0.0006
1200.00 1250.00 0.9914 0.0009
1250.00 1300.00 0.9912 0.0012
1300.00 1350.00 0.9892 0.0019
1350.00 1400.00 0.9929 0.0021
1400.00 1450.00 0.9915 0.0030
1450.00 1500.00 0.9899 0.0041
1500.00 1550.00 0.9920 0.0040
1550.00 1600.00 0.9979 0.0021
1600.00 1650.00 0.9977 0.0023
1650.00 1700.00 0.9946 0.0038
1700.00 1750.00 1.0000 0.0000
1750.00 1800.00 0.9967 0.0033
1800.00 1850.00 1.0000 0.0000
1850.00 1900.00 1.0000 0.0000
1900.00 1950.00 0.9887 0.0056
1950.00 2000.00 0.9975 0.0025
