# zmin zmax N_all N_north N_south
0.00 0.01 0.001527532 0 0.003038805
0.01 0.02 0.007963237 0.006797653 0.009116414
0.02 0.03 0.01407336 0.006797653 0.02127163
0.03 0.04 0.05824692 0.06797653 0.04862088
0.04 0.05 0.06130199 0.06797653 0.05469848
0.05 0.06 0.121402 0.1427507 0.1002806
0.06 0.07 0.09130182 0.08836949 0.09420295
0.07 0.08 0.1246823 0.1155601 0.1337074
0.08 0.09 0.1785718 0.156346 0.2005611
0.09 0.10 0.1130128 0.09516714 0.1306686
0.10 0.11 0.1419111 0.156346 0.1276298
0.11 0.12 0.1498743 0.1631437 0.1367462
0.12 0.13 0.1375537 0.1291554 0.1458626
0.13 0.14 0.1818521 0.1291554 0.233988
0.14 0.15 0.1277374 0.1155601 0.139785
0.15 0.16 0.1209761 0.1019648 0.139785
0.16 0.17 0.1252331 0.09516714 0.154979
0.17 0.18 0.1696319 0.1291554 0.2096775
0.18 0.19 0.170283 0.1427507 0.1975223
0.19 0.20 0.2721527 0.2922991 0.2522208
0.20 0.21 0.2734795 0.2243226 0.3221133
0.21 0.22 0.390299 0.3670733 0.4132774
0.22 0.23 0.5549223 0.4554428 0.653343
0.23 0.24 0.5115003 0.4418474 0.5804117
0.24 0.25 0.6083614 0.5506099 0.6654982
0.25 0.26 0.6763243 0.5981935 0.7536236
0.26 0.27 0.891082 0.9040879 0.8782146
0.27 0.28 0.9620755 1.046839 0.8782146
0.28 0.29 1.098126 1.080827 1.115241
0.29 0.30 1.277525 1.413912 1.142591
0.30 0.31 1.353275 1.305149 1.400889
0.31 0.32 1.653474 1.577056 1.72908
0.32 0.33 1.954599 1.645032 2.260871
0.33 0.34 2.712259 2.474346 2.947641
0.34 0.35 3.430505 3.405624 3.455121
0.35 0.36 3.925552 3.759102 4.090231
0.36 0.37 4.276914 4.493249 4.062882
0.37 0.38 4.425809 4.221343 4.6281
0.38 0.39 4.558731 4.540832 4.57644
0.39 0.40 4.872627 4.588416 5.153813
0.40 0.41 4.83321 4.275724 5.384762
0.41 0.42 4.989796 4.642797 5.333102
0.42 0.43 4.967135 4.935096 4.998834
0.43 0.44 5.048146 5.159419 4.938058
0.44 0.45 5.221132 4.975882 5.463771
0.45 0.46 5.176158 5.057454 5.293598
0.46 0.47 5.181891 4.826334 5.533663
0.47 0.48 5.750389 5.947946 5.554935
0.48 0.49 6.075404 6.036316 6.114075
0.49 0.50 6.121004 6.063507 6.17789
0.50 0.51 6.447245 6.049911 6.840349
0.51 0.52 6.354714 5.64885 7.053066
0.52 0.53 6.931624 6.308222 7.548391
0.53 0.54 7.162311 7.042369 7.280976
0.54 0.55 7.328337 7.191917 7.463304
0.55 0.56 7.82489 8.055219 7.597012
0.56 0.57 7.710447 7.579383 7.840116
0.57 0.58 7.413406 7.756122 7.074337
0.58 0.59 7.951976 8.157184 7.748952
0.59 0.60 8.57724 8.741782 8.41445
0.60 0.61 8.441767 9.00689 7.882659
0.61 0.62 8.427816 8.524257 8.332403
0.62 0.63 8.842957 9.027283 8.660593
0.63 0.64 9.114359 9.271999 8.958396
0.64 0.65 8.636136 8.408697 8.861155
0.65 0.66 9.045343 9.074867 9.016134
0.66 0.67 9.688613 9.652667 9.724175
0.67 0.68 9.078971 8.565043 9.587429
0.68 0.69 9.125849 8.714591 9.53273
0.69 0.70 9.471451 9.360368 9.581351
0.70 0.71 9.646395 10.04693 9.250122
0.71 0.72 9.652405 10.01294 9.295704
0.72 0.73 9.725528 10.35962 9.098181
0.73 0.74 10.06649 10.36642 9.769757
0.74 0.75 10.22844 10.68591 9.775835
0.75 0.76 10.78138 10.78108 10.78168
0.76 0.77 10.42055 10.35962 10.48084
0.77 0.78 10.83905 10.96461 10.71483
0.78 0.79 11.31822 11.52882 11.10987
0.79 0.80 11.99891 12.56886 11.43502
0.80 0.81 12.64596 13.28941 12.00936
0.81 0.82 12.13316 12.82037 11.45325
0.82 0.83 11.81996 12.18139 11.46237
0.83 0.84 11.42477 11.2977 11.5505
0.84 0.85 11.45563 11.39966 11.51099
0.85 0.86 10.93258 10.46159 11.39856
0.86 0.87 10.64691 10.55676 10.7361
0.87 0.88 10.6751 10.38002 10.96705
0.88 0.89 10.2352 10.28485 10.18607
0.89 0.90 9.66084 9.455535 9.86396
0.90 0.91 9.144256 8.843747 9.441566
0.91 0.92 8.5836 8.619424 8.548158
0.92 0.93 8.20194 8.177577 8.226044
0.93 0.94 8.036991 8.082409 7.992056
0.94 0.95 7.452919 7.273489 7.630439
0.95 0.96 7.180166 7.191917 7.16854
0.96 0.97 6.497455 6.396592 6.597245
0.97 0.98 6.047156 5.988732 6.104959
0.98 0.99 5.430156 5.512897 5.348296
0.99 1.00 4.967686 4.914703 5.020105
1.00 1.01 4.661678 4.744762 4.579479
1.01 1.02 4.347531 4.404879 4.290792
1.02 1.03 3.801649 4.010615 3.594906
1.03 1.04 3.475856 3.555173 3.397384
1.04 1.05 3.263627 3.174504 3.351802
1.05 1.06 2.861634 2.882205 2.841282
1.06 1.07 2.621109 2.644287 2.598178
1.07 1.08 2.399766 2.487941 2.31253
1.08 1.09 2.334658 2.372381 2.297336
1.09 1.10 2.00218 2.032498 1.972184
1.10 1.11 1.774977 1.753794 1.795934
1.11 1.12 1.550929 1.509079 1.592334
1.12 1.13 1.440846 1.475091 1.406967
1.13 1.14 1.275572 1.373126 1.179056
1.14 1.15 1.260421 1.311947 1.209444
