# zmin zmax surface_density comoving_density
0.00 0.05 0.143113 0.0004331
0.05 0.10 0.6289708 0.0002831
0.10 0.15 0.7389286 0.0001284
0.15 0.20 0.8582768 0.0000805
0.20 0.25 2.338562 0.0001399
0.25 0.30 4.905133 0.0002073
0.30 0.35 11.10411 0.0003548
0.35 0.40 22.05963 0.0005593
0.40 0.45 25.05942 0.0005229
0.45 0.50 28.30485 0.0005000
0.50 0.55 34.22423 0.0005236
0.55 0.60 39.47796 0.0005328
0.60 0.65 43.46304 0.0005255
0.65 0.70 46.41023 0.0005092
0.70 0.75 49.31926 0.0004965
0.75 0.80 55.35812 0.0005162
0.80 0.85 59.47948 0.0005180
0.85 0.90 52.15062 0.0004271
0.90 0.95 41.41971 0.0003211
0.95 1.00 30.12262 0.0002222
1.00 1.05 19.55034 0.0001379
1.05 1.10 12.21935 0.0000828
1.10 1.15 7.302746 0.0000477
1.15 1.20 4.141338 0.0000262
1.20 1.25 1.978817 0.0000121
1.25 1.30 1.10053 0.0000066
1.30 1.35 0.563287 0.0000033
1.35 1.40 0.2303831 0.0000013
