# zmin zmax bin_1_north bin_2_north bin_3_north bin_4_north bin_5_north bin_1_south bin_2_south bin_3_south bin_4_south bin_5_south
0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.02 0.04 0.0 0.0 0.0 0.0 0.0 0.1 0.0 0.0 0.0 0.0
0.04 0.06 0.1 0.0 0.0 0.0 0.0 0.1 0.0 0.0 0.0 0.0
0.06 0.08 0.2 0.0 0.0 0.0 0.1 0.3 0.0 0.0 0.0 0.0
0.08 0.1 0.2 0.0 0.0 0.0 0.0 0.2 0.0 0.0 0.0 0.0
0.1 0.12 0.2 0.0 0.0 0.0 0.0 0.2 0.0 0.0 0.0 0.0
0.12 0.14 0.2 0.0 0.0 0.0 0.0 0.3 0.0 0.0 0.0 0.0
0.14 0.16 0.2 0.0 0.0 0.1 0.0 0.2 0.0 0.0 0.0 0.0
0.16 0.18 0.1 0.0 0.0 0.0 0.0 0.2 0.0 0.0 0.0 0.0
0.18 0.2 0.3 0.1 0.0 0.0 0.0 0.3 0.0 0.1 0.0 0.0
0.2 0.22 0.6 0.1 0.0 0.0 0.0 0.9 0.1 0.0 0.0 0.0
0.22 0.24 0.9 0.0 0.0 0.0 0.0 1.1 0.1 0.0 0.0 0.0
0.24 0.26 1.2 0.1 0.0 0.0 0.0 1.2 0.2 0.1 0.0 0.0
0.26 0.28 2.1 0.1 0.0 0.0 0.0 1.7 0.1 0.1 0.0 0.0
0.28 0.3 2.5 0.1 0.0 0.0 0.0 2.3 0.0 0.0 0.0 0.0
0.3 0.32 2.5 0.0 0.1 0.0 0.0 3.2 0.1 0.0 0.0 0.0
0.32 0.34 3.8 0.1 0.0 0.0 0.0 5.2 0.1 0.0 0.0 0.0
0.34 0.36 6.9 0.1 0.0 0.0 0.0 7.2 0.3 0.0 0.0 0.1
0.36 0.38 9.1 0.1 0.1 0.0 0.0 8.0 0.1 0.0 0.0 0.0
0.38 0.4 9.9 0.1 0.0 0.0 0.0 10.4 0.2 0.1 0.0 0.0
0.4 0.42 9.7 0.2 0.0 0.0 0.0 10.2 0.2 0.1 0.0 0.0
0.42 0.44 10.3 0.3 0.0 0.0 0.0 10.4 0.2 0.1 0.0 0.0
0.44 0.46 10.6 0.5 0.1 0.0 0.0 11.8 0.5 0.2 0.0 0.0
0.46 0.48 9.6 0.7 0.0 0.0 0.0 9.9 0.8 0.1 0.0 0.0
0.48 0.5 11.6 1.0 0.1 0.0 0.0 10.1 1.2 0.1 0.0 0.0
0.5 0.52 9.5 1.9 0.1 0.1 0.1 11.2 2.7 0.2 0.0 0.1
0.52 0.54 9.7 4.1 0.2 0.0 0.1 8.9 5.6 0.2 0.1 0.0
