# zmin zmax bin_1_north bin_2_north bin_3_north bin_4_north bin_1_south bin_2_south bin_3_south bin_4_south
0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.02 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.04 0.06 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.06 0.08 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.08 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.1 0.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.12 0.14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.14 0.16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.16 0.18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.18 0.2 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.2 0.22 0.1 0.1 0.0 0.0 0.0 0.0 0.0 0.0
0.22 0.24 0.1 0.0 0.0 0.0 0.0 0.1 0.0 0.0
0.24 0.26 0.1 0.1 0.0 0.0 0.1 0.1 0.0 0.0
0.26 0.28 0.1 0.1 0.0 0.0 0.1 0.1 0.0 0.0
0.28 0.3 0.2 0.1 0.0 0.0 0.2 0.1 0.0 0.0
0.3 0.32 0.3 0.1 0.0 0.0 0.3 0.1 0.0 0.0
0.32 0.34 0.6 0.1 0.0 0.0 0.5 0.1 0.0 0.0
0.34 0.36 1.2 0.0 0.0 0.0 1.2 0.2 0.0 0.0
0.36 0.38 2.5 0.2 0.0 0.0 2.2 0.2 0.1 0.0
0.38 0.4 4.6 0.2 0.0 0.0 4.4 0.3 0.0 0.0
0.4 0.42 6.6 0.2 0.0 0.0 7.2 0.2 0.0 0.0
0.42 0.44 8.9 0.2 0.0 0.0 8.2 0.2 0.0 0.0
0.44 0.46 9.4 0.4 0.0 0.0 9.1 0.4 0.0 0.0
0.46 0.48 10.5 0.5 0.0 0.1 9.9 0.6 0.1 0.0
0.48 0.5 11.5 1.1 0.1 0.1 11.0 1.1 0.1 0.1
0.5 0.52 10.0 2.1 0.1 0.1 11.2 2.5 0.1 0.1
0.52 0.54 8.6 5.2 0.1 0.1 9.1 5.6 0.1 0.1
0.54 0.56 5.0 10.6 0.1 0.1 4.3 10.8 0.2 0.1
0.56 0.58 2.0 13.5 0.2 0.1 1.8 13.2 0.2 0.0
0.58 0.6 0.7 15.7 0.3 0.1 0.7 15.6 0.3 0.0
0.6 0.62 0.3 16.8 0.5 0.1 0.4 15.4 0.5 0.0
0.62 0.64 0.2 17.1 1.2 0.1 0.2 16.6 1.0 0.0
0.64 0.66 0.2 15.7 2.0 0.1 0.1 15.8 1.8 0.1
