# zmin zmax bin_1_north bin_2_north bin_3_north bin_4_north bin_5_north bin_1_south bin_2_south bin_3_south bin_4_south bin_5_south
0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.02 0.04 0.0 0.0 0.0 0.0 0.0 0.1 0.0 0.0 0.0 0.0
0.04 0.06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1
0.06 0.08 0.0 0.1 0.0 0.0 0.1 0.1 0.1 0.1 0.0 0.1
0.08 0.1 0.0 0.1 0.1 0.0 0.0 0.1 0.1 0.0 0.0 0.0
0.1 0.12 0.1 0.1 0.0 0.0 0.1 0.0 0.1 0.1 0.0 0.1
0.12 0.14 0.1 0.0 0.0 0.1 0.0 0.0 0.1 0.1 0.1 0.1
0.14 0.16 0.1 0.1 0.0 0.1 0.1 0.1 0.0 0.0 0.0 0.0
0.16 0.18 0.1 0.0 0.1 0.0 0.0 0.1 0.0 0.1 0.0 0.0
0.18 0.2 0.3 0.1 0.0 0.0 0.0 0.3 0.0 0.0 0.0 0.0
0.2 0.22 0.5 0.1 0.0 0.0 0.1 0.8 0.1 0.0 0.0 0.1
0.22 0.24 0.8 0.1 0.0 0.0 0.0 1.0 0.1 0.0 0.0 0.1
0.24 0.26 1.1 0.1 0.0 0.0 0.0 1.2 0.1 0.1 0.0 0.0
0.26 0.28 2.0 0.1 0.0 0.0 0.0 1.5 0.2 0.1 0.0 0.0
0.28 0.3 2.4 0.2 0.1 0.0 0.0 2.0 0.2 0.0 0.0 0.0
0.3 0.32 2.4 0.2 0.0 0.0 0.0 2.9 0.3 0.0 0.0 0.0
0.32 0.34 3.6 0.3 0.0 0.0 0.0 4.9 0.4 0.1 0.0 0.0
0.34 0.36 6.6 0.3 0.1 0.0 0.0 6.7 0.8 0.0 0.0 0.1
0.36 0.38 8.5 0.7 0.0 0.0 0.0 7.5 0.6 0.1 0.0 0.0
0.38 0.4 9.3 0.7 0.1 0.1 0.0 9.7 0.8 0.1 0.0 0.0
0.4 0.42 9.0 0.8 0.1 0.0 0.0 9.3 1.1 0.0 0.0 0.0
0.42 0.44 9.4 1.1 0.1 0.0 0.0 9.2 1.3 0.2 0.0 0.0
0.44 0.46 9.6 1.3 0.3 0.0 0.0 10.7 1.6 0.1 0.0 0.1
0.46 0.48 8.5 1.6 0.2 0.0 0.0 8.7 2.0 0.1 0.0 0.0
0.48 0.5 10.4 2.0 0.3 0.1 0.0 8.7 2.5 0.3 0.1 0.0
0.5 0.52 8.3 2.8 0.4 0.1 0.1 10.5 3.0 0.5 0.1 0.1
0.52 0.54 9.5 4.0 0.5 0.1 0.1 9.4 4.6 0.6 0.1 0.1
